value,type,created_at,updated_at,status,score,expires_at,tags,sources
9bf1b94a86d508a412a39e67779eafa6,MD5,2022-10-04T13:28:34.526Z,2022-10-04T13:28:41.128Z,Review,7,,,"CrowdStrike Indicators"
6b0d5d7205b7f1bcc869f49f5acd8bae19520345,SHA-1,2022-10-04T13:28:34.536Z,2022-10-04T13:28:41.128Z,Review,7,,,"CrowdStrike Indicators"
b740589b178ea79a174f04f8b0fc672b5ef3ab6616c50df0876f6cdf13477eb6,SHA-256,2022-10-04T13:28:34.565Z,2022-10-04T13:28:41.128Z,Review,7,,,"CrowdStrike Indicators"
1735a534291c477d68375b719f06d05150cab8b3183212849ce9eaa7f3920474,SHA-256,2022-10-05T16:39:39.644Z,2022-10-05T16:39:51.072Z,Review,7,,,"CrowdStrike Indicators"
e0679da1ab43568b981ee411efaed5fde2893d98,SHA-1,2022-10-05T16:39:39.666Z,2022-10-05T16:39:51.072Z,Review,7,,,"CrowdStrike Indicators"
76adaa87f429111646a27c2e60bda61e,MD5,2022-10-05T16:40:00.249Z,2022-10-05T16:40:14.882Z,Review,7,,,"CrowdStrike Indicators"
9ebee330abb361fe1420a3e653faaa60,MD5,2022-10-06T03:17:21.108Z,2022-10-06T03:17:25.228Z,Review,7,,,"CrowdStrike Indicators"
3afcb5b089496841d22c5187478d14295407a94e,SHA-1,2022-10-06T03:17:21.115Z,2022-10-06T03:17:25.228Z,Review,7,,,"CrowdStrike Indicators"
000ca7668db3c3ead925d74f48c9a19886515423d2daf295bb7d9b843fef6131,SHA-256,2022-10-06T03:17:21.183Z,2022-10-06T03:17:25.228Z,Review,7,,,"CrowdStrike Indicators"
f6b6cb9cb535437124f28287ed7c4af437610126,SHA-1,2022-10-07T05:21:11.790Z,2022-10-07T05:21:22.925Z,Review,7,,,"CrowdStrike Indicators"
60e1baa20f149938623525deb1e8ccd6c4f10c3e657c7b8d7afd1ce71d89ac35,SHA-256,2022-10-07T05:21:11.870Z,2022-10-07T05:21:22.925Z,Review,7,,,"CrowdStrike Indicators"
20fb8d42b8ea07be6e38970b2dfa9b4f,MD5,2022-10-07T05:21:11.880Z,2022-10-07T05:21:22.925Z,Review,7,,,"CrowdStrike Indicators"
dd43651b5cf8567b8418c0dded4cf233,MD5,2022-10-07T07:26:47.535Z,2022-10-07T07:26:54.642Z,Review,7,,,"CrowdStrike Indicators"
3b71c6d2246b69c581204834e6da150b3709ee6ce18fa5c86da3b39d72f90615,SHA-256,2022-10-07T07:26:47.545Z,2022-10-07T07:26:54.642Z,Review,7,,,"CrowdStrike Indicators"
480afb3c947f27f6569add82d9c8000c9c977eca,SHA-1,2022-10-07T07:26:47.555Z,2022-10-07T07:26:54.642Z,Review,7,,,"CrowdStrike Indicators"
